rfid,days_diff_sum
3451987,6
3930873317,6
825377,6
1771890,6
3058219725,6
1356264,6
660698,6
905139,6
1140068,5
5319097155,5
1140884,5
5022974883,5
1251555,5
1432651,5
3164925,5
696487,5
1440158,5
1329132,5
605425,5
105697995,5
4891455,5
6466962518,5
3164899,5
1841599,5
4751955,5
847076,5
3615656410,5
2380352,5
1482683,5
1394412,5
2361922,5
1360559,5
204278,5
1902440,5
8540397919,5
7219308612,5
5155497158,5
3695929669,5
1762064,5
1322507,5
1310014,5
2351204,5
1016962,5
1240453,5
1261225,5
3571552,5
1340551,5
1382817,5
5404,5
2475731,5
1320368,5
1284220,5
3313678838,5
606075,5
894193,5
1216120009,5
1920763,5
120003,5
8519110080,5
1463078,5
3782179920,5
7185287013,5
8587941761,5
5268751884,5
2517805,5
2587485,5
1900454,5
1176177,5
1240518,5
1340964,5
7575201199,5
4883816,5
2528869,5
3683518,5
2448832,5
877864,5
9186425074,5
181340,5
3731195,5
1760621,5
468895986,5
1300462,5
1380616,5
1845186,5
3513321,5
1986788,5
544651,5
8415328039,5
781752,5
1360461,5
862040,5
3319729879,5
561024,5
840704,5
1920859,5
1189176,5
3660974,5
1240953,5
3732701485,5
2509579,5
643243,5
1820736,5
4014921220,5
3602715,5
2800089,5
788481,5
9152515601,5
2489995,5
5024629181,5
465838866,5
6993676779,5
961212,5
3703936,5
1761277,5
776412,5
8003089,5
1084683,5
740667,4
9487411587,4
1263632,4
2360230,4
82053,4
1320386,4
2470149,4
220548,4
6269247657,4
5837292780,4
1241007,4
221122,4
1460200,4
1501377,4
1140131,4
3004745754,4
1343752261,4
900841,4
606239,4
5969653243,4
83409,4
5316647907,4
2975056,4
81758,4
1762152,4
2582023,4
2865112,4
8067587307,4
602716,4
6121826956,4
1172732,4
2963100,4
221588,4
1362069,4
700185,4
8067612799,4
9810652302,4
2955127,4
1308223,4
1403284,4
240951,4
1964432,4
1341439,4
762010,4
1301360,4
1692182,4
602364,4
3526762943,4
622819,4
9093706888,4
9059633177,4
4122718,4
80732,4
626183,4
2049359,4
2324216,4
1505184,4
9659133482,4
1827639,4
1342304,4
6269249952,4
961659,4
595728,4
624255,4
646382,4
4149820,4
1336110470,4
97118,4
101225,4
1385988,4
9943397461,4
1201026,4
301034131,4
601598,4
5425341917,4
743630,4
600391,4
2627764,4
1321682,4
809470,4
6422798014,4
1200170,4
661717,4
2037665,4
4248799292,4
2429831,4
2443374,4
101631,4
620038,4
1799,4
1009446,4
4149650,4
