transaction_id,rfid,type_detail,transaction_date
7-1618-1618-20191018180153-101-2411,1222302,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1181821,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1260811,return,2019-10-18 18:01:00
7-1614-1614-20191022113238-103-9874,601308,return,2019-10-22 11:32:00
7-1618-1618-20191014182542-101-915,680088,return,2019-10-14 18:25:00
7-1618-1618-20191014182542-101-915,680009,return,2019-10-14 18:25:00
7-1618-1618-20191014182542-101-915,1166710,return,2019-10-14 18:25:00
7-1618-1618-20191001114917-101-7981,3544468025,return,2019-10-01 11:49:00
7-1618-1618-20191014182542-101-915,1164444,return,2019-10-14 18:25:00
7-2350-2350-20191001190205-111-4455,1161162,return,2019-10-01 19:02:00
7-1618-1618-20191002131112-101-8074,3095385004,return,2019-10-02 13:11:00
7-1618-1618-20191005130416-102-536,1987724,return,2019-10-05 13:04:00
7-1618-1618-20191009142425-101-9527,3581165,return,2019-10-09 14:24:00
7-1614-1614-20191002125205-103-3147,1182720,return,2019-10-02 12:52:00
7-1618-1618-20191026171440-101-5203,5841200,return,2019-10-26 17:14:00
7-1614-1614-20191008181853-103-5042,2283131,return,2019-10-08 18:18:00
7-1618-1618-20191009143251-101-9533,1873600,return,2019-10-09 14:32:00
7-1618-1618-20191011163144-103-8503,1321387,return,2019-10-11 16:31:00
7-1614-1614-20191020175036-103-9432,588878,return,2019-10-20 17:50:00
7-1614-1614-20191020175036-103-9432,186292,return,2019-10-20 17:50:00
7-1614-1614-20191016163147-103-7837,5319116060,return,2019-10-16 16:31:00
7-1614-1614-20191014121855-103-6903,2680160213,return,2019-10-14 12:18:00
7-1618-1618-20191002175521-101-8233,2804376,return,2019-10-02 17:55:00
7-2350-2350-20191016134340-111-4833,707224,return,2019-10-16 13:43:00
7-2350-2350-20191003111505-111-4490,2306592,return,2019-10-03 11:15:00
7-1614-1614-20191002182042-103-3263,1341565,return,2019-10-02 18:20:00
7-2350-2350-20191002130043-111-4466,1826722,return,2019-10-02 13:00:00
7-1618-1618-20191003161830-101-8563,3397708,return,2019-10-03 16:18:00
7-1614-1614-20191008174822-104-4547,1652885305,return,2019-10-08 17:48:00
7-1618-1618-20191003124756-101-8441,3058229356,return,2019-10-03 12:47:00
7-1618-1618-20191003125406-101-8442,1423588,return,2019-10-03 12:54:00
7-1618-1618-20191025154638-101-4727,1265739,return,2019-10-25 15:46:00
7-1618-1618-20191025154638-101-4727,1781503,return,2019-10-25 15:46:00
7-1618-1618-20191025154638-101-4727,660145,return,2019-10-25 15:46:00
7-1618-1618-20191015164529-101-1228,11789794,return,2019-10-15 16:45:00
7-2350-2350-20191020163604-111-4977,2456302,return,2019-10-20 16:36:00
7-1618-1618-20191022132038-101-3613,600389,return,2019-10-22 13:20:00
7-1614-1614-20191027175751-104-9894,1795132,return,2019-10-27 17:57:00
7-1618-1618-20191007155855-101-9086,1443612,return,2019-10-07 15:58:00
